ㄧ ㄧ	一一 762 依依 68
ㄧ ㄧ ㄐㄧㄡˇ	一一九 21
ㄧ ㄉㄧㄥ ㄅㄨˊ ㄕˋ	一丁不識 0
ㄧ ㄉㄧㄥ ㄅㄨˋ ㄕˋ	一丁不識 0
ㄧˋ ㄉㄧㄥ ㄅㄨˊ ㄕˋ	一丁不識 0
ㄧˋ ㄉㄧㄥ ㄅㄨˋ ㄕˋ	一丁不識 0
ㄧ ㄉㄧㄥ ㄇㄨˋ	一丁目 1
ㄧ ㄉㄧㄥ ㄉㄧㄢˇ	一丁點 13
ㄧˋ ㄉㄧㄥ ㄉㄧㄢˇ	一丁點 13
ㄧ ㄉㄧㄥ ㄉㄧㄢˇ ㄦˊ	一丁點兒 3
ㄧ ㄑㄧ ㄙㄢ	一七三 8
ㄧ ㄑㄧ ㄐㄧㄡˇ	一七九 10
ㄧ ㄑㄧ ㄦˋ	一七二 9
ㄧ ㄑㄧ ㄨˇ	一七五 11
ㄧ ㄑㄧ ㄅㄚ	一七八 9
ㄧ ㄑㄧ ㄌㄧㄡˋ	一七六 16
ㄧ ㄑㄧ ㄙˋ	一七四 10
ㄧ ㄓㄤˋ	一丈 7 一仗 2 依仗 1 依杖 0
ㄧˊ ㄓㄤˋ	一丈 7 姨丈 3 一仗 2 儀仗 1
ㄧ ㄙㄢ ㄧ	一三一 13
ㄧ ㄙㄢ ㄙㄢ	一三三 10
ㄧ ㄙㄢ ㄦˋ	一三二 9
ㄧ ㄙㄢ ㄨˇ	一三五 14
ㄧ ㄙㄢ ㄌㄧㄡˋ	一三六 10
ㄧ ㄙㄢ ㄙˋ	一三四 5
ㄧ ㄕㄤˋ ㄌㄞˊ	一上來 4
ㄧˊ ㄕㄤˋ ㄌㄞˊ	一上來 4 移上來 1
ㄧ ㄕㄤˋ ㄑㄩˋ	一上去 1
ㄧˊ ㄕㄤˋ ㄑㄩˋ	一上去 1 移上去 1
ㄧ ㄕㄤˋ ㄊㄞˊ	一上台 4
ㄧˊ ㄕㄤˋ ㄊㄞˊ	一上台 4
ㄧ ㄕㄤˋ ㄔㄤˇ	一上場 2
ㄧˊ ㄕㄤˋ ㄔㄤˇ	一上場 2
ㄧ ㄒㄧㄚˋ	一下 4410
ㄧˊ ㄒㄧㄚˋ	一下 4410 遺下 6 移下 1
ㄧ ㄒㄧㄚˋ ㄒㄧㄚˋ	一下下 8
ㄧˊ ㄒㄧㄚˋ ㄒㄧㄚˋ	一下下 8
ㄧ ㄒㄧㄚˋ ㄌㄞˊ	一下來 5
ㄧˊ ㄒㄧㄚˋ ㄌㄞˊ	一下來 5 移下來 0
ㄧ ㄒㄧㄚˋ ㄑㄩˋ	一下去 5
ㄧˊ ㄒㄧㄚˋ ㄑㄩˋ	一下去 5 移下去 1
ㄧ ㄒㄧㄚˋ ㄊㄞˊ	一下台 16
ㄧˊ ㄒㄧㄚˋ ㄊㄞˊ	一下台 16
ㄧ ㄒㄧㄚˋ ㄔㄤˇ	一下場 1
ㄧˊ ㄒㄧㄚˋ ㄔㄤˇ	一下場 1
ㄧ ㄒㄧㄚˋ ㄗ˙	一下子 295
ㄧˊ ㄒㄧㄚˋ ㄗ˙	一下子 295
ㄧ ㄒㄧㄚˋ ㄗ˙ ㄓㄨㄢˇ ㄌㄧㄤˊ	一下子轉涼 1
ㄧ ㄅㄨˊ	一不 93
ㄧ ㄅㄨˋ	一步 1675 一部 1171 一不 93
ㄧˊ ㄅㄨˊ	一不 93
ㄧˊ ㄅㄨˋ	一步 1675 一部 1171 一不 93 移步 1
ㄧ ㄅㄨˊ ㄗㄨㄛˋ ㄦˋ ㄅㄨˋ ㄒㄧㄡ	一不做二不休 2
ㄧ ㄅㄨˋ ㄗㄨㄛˋ ㄦˋ ㄅㄨˋ ㄒㄧㄡ	一不做二不休 2
ㄧ ㄅㄨˋ ㄒㄧㄠˇ ㄒㄧㄣ	一不小心 28
ㄧˊ ㄅㄨˋ ㄒㄧㄠˇ ㄒㄧㄣ	一不小心 28
ㄧ ㄅㄨˊ ㄓㄨˋ ㄧˋ	一不注意 2
ㄧ ㄅㄨˋ ㄓㄨˋ ㄧˋ	一不注意 2
ㄧˊ ㄅㄨˊ ㄓㄨˋ ㄧˋ	一不注意 2
ㄧˊ ㄅㄨˋ ㄓㄨˋ ㄧˋ	一不注意 2
ㄧ ㄅㄨˋ ㄌㄧㄡˊ ㄕㄣˊ	一不留神 1
ㄧˊ ㄅㄨˋ ㄌㄧㄡˊ ㄕㄣˊ	一不留神 1
ㄧ ㄕˋ	一世 297 一是 210 一事 177 醫事 64 一試 32 衣飾 18 一式 2 依侍 0
ㄧˊ ㄕˋ	儀式 474 一世 297 一是 210 一事 177 一試 32 一式 2 宜市 1
ㄧ ㄕˋ ㄐㄧˋ	一世紀 218
ㄧˊ ㄕˋ ㄐㄧˋ	一世紀 218
ㄧ ㄕˋ ㄧㄥ ㄇㄧㄥˊ	一世英名 1
ㄧˊ ㄕˋ ㄧㄥ ㄇㄧㄥˊ	一世英名 1
ㄧ ㄑㄧㄡ ㄓ ㄏㄜˊ	一丘之貉 1
ㄧˋ ㄑㄧㄡ ㄓ ㄏㄜˊ	一丘之貉 1
ㄧ ㄅㄧㄥˇ	一丙 1
ㄧ ㄓㄨㄥ ㄧ ㄊㄞˊ	一中一台 8
ㄧ ㄔㄨㄢˋ	一串 38
ㄧˊ ㄔㄨㄢˋ	一串 38
ㄧ ㄔㄨㄢˋ ㄔㄨㄢˋ	一串串 13
ㄧˊ ㄔㄨㄢˋ ㄔㄨㄢˋ	一串串 13
ㄧ ㄓ ㄑㄧ	一之七 1
ㄧ ㄐㄧㄡˇ ㄧ	一九一 54
ㄧ ㄐㄧㄡˇ ㄑㄧ ㄌㄧㄥˊ ㄋㄧㄢˊ ㄉㄞˋ	一九七零年代 4
ㄧ ㄐㄧㄡˇ ㄙㄢ	一九三 108
ㄧ ㄐㄧㄡˇ ㄙㄢ ㄌㄧㄥˊ ㄋㄧㄢˊ ㄉㄞˋ	一九三零年代 4
ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ	一九九 909
ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ ㄌㄧㄥˊ	一九九○ 0
ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ ㄧ	一九九一 97
ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ ㄑㄧ	一九九七 60
ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ ㄙㄢ	一九九三 94
ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ ㄐㄧㄡˇ	一九九九 51
ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ ㄦˋ	一九九二 113
ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ ㄨˇ	一九九五 95
ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ ㄅㄚ	一九九八 137
ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ ㄌㄧㄡˋ	一九九六 73
ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ ㄙˋ	一九九四 75
ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ ㄌㄧㄥˊ ㄋㄧㄢˊ ㄉㄞˋ	一九九零年代 1
